name,parent,type,size
candidate.py,[],file,990
format_control.py,[],file,2520
installation_report.py,[],file,2617
scheme.py,[],file,738
wheel.py,[],file,3600
cmdoptions.py,[],file,29381
__init__.py,[],file,132
status_codes.py,[],file,116
parser.py,[],file,10817
command_context.py,[],file,774
spinners.py,[],file,5118
autocompletion.py,[],file,6676
base_command.py,[],file,7842
main_parser.py,[],file,4338
progress_bars.py,[],file,1968
main.py,[],file,2472
req_command.py,[],file,18172
check.py,"['install', 'build']",file,5109
__init__.py,"['install', 'build']",file,0
freeze.py,"['install', 'build']",file,9784
prepare.py,"['install', 'build']",file,25091
install,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_internal/operations,dir,32917
build,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_internal/operations,dir,14723
legacy.py,[],file,4105
editable_legacy.py,[],file,1354
__init__.py,[],file,51
wheel.py,[],file,27407
wheel_legacy.py,[],file,3064
metadata.py,[],file,1404
metadata_editable.py,[],file,1456
wheel_editable.py,[],file,1405
__init__.py,[],file,0
metadata_legacy.py,[],file,2198
wheel.py,[],file,1063
build_tracker.py,[],file,4133
req_install.py,[],file,35600
req_set.py,[],file,2858
req_uninstall.py,[],file,24045
__init__.py,[],file,2807
req_file.py,[],file,17646
constructors.py,[],file,16611
__init__.py,"['legacy', 'resolvelib']",file,0
base.py,"['legacy', 'resolvelib']",file,583
legacy,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_internal/resolution,dir,24129
resolvelib,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_internal/resolution,dir,87194
__init__.py,[],file,0
resolver.py,[],file,24129
provider.py,[],file,9914
found_candidates.py,[],file,5705
reporter.py,[],file,2526
__init__.py,[],file,0
factory.py,[],file,27878
requirements.py,[],file,5455
resolver.py,[],file,11533
candidates.py,[],file,18963
base.py,[],file,5220
git.py,[],file,18116
__init__.py,[],file,596
mercurial.py,[],file,5238
bazaar.py,[],file,3518
versioncontrol.py,[],file,22811
subversion.py,[],file,11728
__init__.py,[],file,17552
_sysconfig.py,[],file,7867
_distutils.py,[],file,6302
base.py,[],file,2573
collector.py,[],file,16503
__init__.py,[],file,30
sources.py,[],file,6557
package_finder.py,[],file,37596
configuration.py,[],file,9815
show.py,[],file,6129
list.py,[],file,12343
check.py,[],file,1685
index.py,[],file,4762
completion.py,[],file,4129
download.py,[],file,5289
cache.py,[],file,7582
__init__.py,[],file,3882
hash.py,[],file,1703
inspect.py,[],file,3374
debug.py,[],file,6573
uninstall.py,[],file,3680
freeze.py,[],file,2951
search.py,[],file,5697
install.py,[],file,31726
help.py,[],file,1132
wheel.py,[],file,7396
_json.py,['importlib'],file,2595
__init__.py,['importlib'],file,4280
pkg_resources.py,['importlib'],file,9773
base.py,['importlib'],file,25277
importlib,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_internal/metadata,dir,17627
_dists.py,[],file,8181
__init__.py,[],file,107
_compat.py,[],file,1882
_envs.py,[],file,7457
__init__.py,[],file,858
sdist.py,[],file,6494
installed.py,[],file,729
base.py,[],file,1221
wheel.py,[],file,1164
vendor.txt,"['packaging', 'msgpack', 'chardet', 'webencodings', 'pygments', 'pep517', 'distlib', 'pyparsing', 'distro', 'colorama', 'cachecontrol', 'idna', 'tenacity', 'requests', 'tomli', 'certifi', 'rich', 'urllib3', 'pkg_resources', 'resolvelib', 'platformdirs']",file,469
__init__.py,"['packaging', 'msgpack', 'chardet', 'webencodings', 'pygments', 'pep517', 'distlib', 'pyparsing', 'distro', 'colorama', 'cachecontrol', 'idna', 'tenacity', 'requests', 'tomli', 'certifi', 'rich', 'urllib3', 'pkg_resources', 'resolvelib', 'platformdirs']",file,4966
six.py,"['packaging', 'msgpack', 'chardet', 'webencodings', 'pygments', 'pep517', 'distlib', 'pyparsing', 'distro', 'colorama', 'cachecontrol', 'idna', 'tenacity', 'requests', 'tomli', 'certifi', 'rich', 'urllib3', 'pkg_resources', 'resolvelib', 'platformdirs']",file,34549
typing_extensions.py,"['packaging', 'msgpack', 'chardet', 'webencodings', 'pygments', 'pep517', 'distlib', 'pyparsing', 'distro', 'colorama', 'cachecontrol', 'idna', 'tenacity', 'requests', 'tomli', 'certifi', 'rich', 'urllib3', 'pkg_resources', 'resolvelib', 'platformdirs']",file,80114
packaging,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,96292
msgpack,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,42850
chardet,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,1092504
webencodings,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,31733
pygments,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,479266
pep517,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,47390
distlib,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,1139219
pyparsing,/Users/nikakaraseva/Desktop/GB/PYTHON_new/Seminars/Sem_8/venv/lib/python3.11/site-packages/pip/_vendor,dir,370049
